date,gross_trades_value,stock_PL,option_PL,net_PL,cash,position_value
2020-09-15,178870.2644370001,-905643.0766022286,1746916.0,841272.9233977704,10916369.00511777,10858587.15080077
2020-09-16,156325.11042000004,-905643.0766022286,1746916.0,841272.9233977704,11072694.11553777,10861871.54743577
2020-09-17,332198.2182079999,-905643.0766022286,1746916.0,841272.9233977704,11404892.33374577,10863385.50131377
2020-09-18,490469.512175,-905643.0766022286,1746916.0,841272.9233977704,11895361.84592077,10870562.69200077
2020-09-21,331638.49158100004,-905643.0766022286,1746916.0,841272.9233977704,12227000.33750177,10868988.04662477
2020-09-22,456901.66368,-905643.0766022286,1746916.0,841272.9233977704,11863842.67382177,10872182.486271769
2020-09-23,1233748.6508240001,-905643.0766022286,1746916.0,841272.9233977704,13097591.32464577,10856755.58738177
2020-09-24,199128.33965000015,-896931.9966572286,1744006.0,847074.0033427704,12559015.34324577,10865118.94854577
2020-09-25,1185704.9463,-896931.9966572286,1744006.0,847074.0033427704,11477594.39694577,10869222.08809977
2020-09-28,1702321.541147,-896931.9966572286,1744006.0,847074.0033427704,9871480.85579877,10854969.04080777
2020-09-29,626969.5372979998,-896931.9966572286,1744006.0,847074.0033427704,10498450.39309677,10852387.18160577
2020-09-30,933259.178092,-911381.3185652285,1767162.0,855780.6814347705,9291329.123528771,10852130.01996977
2020-10-01,473277.7908719999,-927552.0732852285,1794586.0,867033.9267147705,8763678.53214477,10853110.06430477
2020-10-02,965916.9731119999,-927552.0732852285,1794586.0,867033.9267147705,9729595.50525677,10863708.33150477
2020-10-05,2284376.598056,-927552.0732852285,1794586.0,867033.9267147705,7561258.90720077,10863488.732928772
2020-10-06,1870777.607584,-927552.0732852285,1794586.0,867033.9267147705,9432036.51478477,10861706.36670477
2020-10-07,2790990.071556,-927552.0732852285,1794586.0,867033.9267147705,6774258.443228771,10860030.68822477
2020-10-08,1794463.4068859997,-927552.0732852285,1794586.0,867033.9267147705,5098463.036342771,10890646.40086677
2020-10-09,1836084.2117250003,-927552.0732852285,1794586.0,867033.9267147705,3354556.8246177705,10913781.072572771
2020-10-12,1852463.915595,-897941.4627122284,1765122.0,867180.5372877705,2317363.448170771,10872949.470766772
2020-10-13,837444.3812460001,-886205.9982722284,1752186.0,865980.0017277705,3940363.38692877,10869333.14320677
2020-10-14,619324.2638349996,-859477.5318272285,1729742.0,870264.4681727705,5500360.679219769,10889854.513886768
2020-10-15,79522.97599999998,-833156.7506752287,1707726.0,874569.2493247703,6397278.23121977,10905920.539469771
2020-10-16,115704.64984299996,-821559.4655432288,1699077.0,877517.5344567702,7351614.18337177,10912148.08118277
2020-10-19,2491951.28993,-828907.1049752288,1712881.0,883973.8950247702,10466235.30908977,10917714.64843077
2020-10-20,958570.9908840001,-831218.5198142289,1721602.0,890383.4801857701,10215373.21435177,10916359.69674777
2020-10-21,348049.9339800003,-838375.6587542287,1737412.0,899036.3412457702,10957513.98067177,10951810.45551777
2020-10-22,1077649.7085560004,-845035.2013222286,1754800.0,909764.7986777703,10268729.357887771,10975666.998693772
2020-10-23,544287.6680220001,-845101.7982502285,1768528.0,923426.2017497704,10248281.17696977,11004500.437275771
2020-10-26,3178794.263253,-856195.3467502285,1784638.0,928442.6532497704,13577681.95553277,10910478.25417277
2020-10-27,368213.8993459997,-866247.2468982287,1803440.0,937192.7531017703,14414611.26029077,10938786.15025277
2020-10-28,3267456.0640820004,-870708.5404422288,1799836.0,929127.4595577702,17495992.08146477,10801932.60537677
2020-10-29,473482.0365959999,-874648.0919922288,1800298.0,925649.9080077702,16771608.76192877,10872550.07320077
2020-10-30,694589.5491200001,-869570.7333597888,1784935.0,915364.2666402102,16757174.038588211,10852337.32545421
2020-11-02,585839.22202,-869570.7333597888,1784935.0,915364.2666402102,16171334.81656821,10876512.98316821
2020-11-03,1385654.185528,-872576.4545997886,1786705.0,914128.5454002103,14005600.77097021,10883819.12105821
2020-11-04,2002149.0356880003,-892434.0251127887,1807165.0,914730.9748872103,11274698.603792211,10907946.604554212
2020-11-05,1839096.131104,-916366.8884407887,1829981.0,913614.1115592102,8922707.876080211,10894117.540064212
2020-11-06,104096.576856,-938003.1069007887,1855901.0,917897.8930992102,8807494.692856211,10943112.213736212
